text,artist
"как подобает в их лета
околыш красный на земле
рассеян утренник тяжелый
томятся детидикари
играют мальчики в футбол
все в будущем а ныне скорбь
и вскакивать на жесткой койке
мундир обрызган
грудь открыта
на босу ногу день пришел
любовь охотничьи попойки
деревья мокрые в золе
чутьчуть неловки мешковаты
так от зари и до зари
осенней путаницы сито
кто охраняет ворота
а на дворе военной школы
кто мяч толкает угловатый
увы ни музыки ни славы
чуть свет под барабанов дробь
в силках науки и забавы",Осип Мандельштам
"серпа внезапно почернев
вверху такая темнота
темнеющее рвется кружево
деревья траурные вышиты
высоких неживых дерев
холмов холодная черта
и словно ночь на день нахлынула
зачем же выше и все выше ты
на темном небе как узор
возводишь изумленный взор
о месяц только ты не суживай
ты скажешь время опрокинула",Осип Мандельштам
"только уста разомкнешь
при наступлении дня
вспомнишь на даче осу
или охватит тебя
детский чернильный пенал
или чернику в лесу
мелкая хвойная дрожь
или ещё чтонибудь
птицу старуху тюрьму
что никогда не сбирал
не говори никому
всё что ты видел забудь",Осип Мандельштам
"ещё гуляют в городах
и пишут звездоносно и хвостато
ещё мы жизнью полны в высшей мере
разумные густеющие прядки
каштановые собирает взятки
толковые лиловые чернила
из мотыльковых лапчатых материй
и падают на чистую салфетку
ещё комета нас не очумила
китайчатые платьица и блузы
ещё стрижей довольно и касаток
ещё машинка номер первый едко",Осип Мандельштам
"замечаю как тепло
дев полуночных отвага
ветер западный с
да привяжется бродяга
звезды трезвая беседа
кто скажите мне сознанье
и безумных звезд разбег
выстрел пушечный в подвалы
всадник и гранит
вымогая на ночлег
виноградом замутит
петра созданье
и гораздо глубже бреда
вероятно донесло
воспаленной головы
слышу с крепости сигналы",Осип Мандельштам
"когда я спал без облика и склада
мы вместе с вами щелкали орехи
ибо годы летят
поучимся ж серьезности и чести
мне хочется уйти из нашей речи
поэзия тебе полезны грозы
для новых чум для семилетних боен
слагались гимны кони гарцевали
нахтигаль дай мне судьбу
я буквой был был виноградной строчкой
перевод с немецкого
я книгой был которая вам снится
но ты живешь и я с тобой спокоен августа
я вспоминаю немцаофицера
иль вырви мне язык он мне не нужен
какой свободой мы располагали
сбегали в гроб ступеньками без страха
и словно буквы прыгали на месте
звук сузился слова шипят бунтуют
и на губах его была
от новизны его первостатейной
как моль летит на огонек полночный
недолго еще будет нас горячить
есть между нами похвала без лести
себя губя себе противореча
чужая речь мне будет оболочкой
не упусти в суете самое жизнь
франкфурте отцы зевали
и сок винограда
и прямо со страницы альманаха
скажите мне друзья в какой
и много прежде чем я смел родиться
за все чем я обязан ей бессрочно
на западе у чуждого семейства
и за эфес его цеплялись розы
нахтигаль меня еще вербуют
какие вы поставили мне вехи
я дружбой был как выстрелом разбужен
гете не было известий
и дружба есть в упор без фарисейства
как в погребок за кружкой мозельвейна",Осип Мандельштам
"цветочная проснулась ваза
и тоненький бисквит ломая
вся комната напоена
немного красного вина
открыла два огромных глаза
истомой сладкое лекарство
так много поглотило сна
немного солнечного мая
и выплеснула свой хрусталь
такое маленькое царство
тончайших пальцев белизна
невыразимая печаль",Осип Мандельштам
"когда бы так
и вечность бьет на каменных часах
но музыка от бездны не спасет
и вся моя душа в колоколах
я чувствую непобедимый страх
но я не путник тот
и подлинно во мне печаль поет
и кажется старинный пешеход
мелькающий на выцветших листах
над пропастью на гнущихся мостках
и колокольни я люблю полет
в присутствии таинственных высот
я слушаю как снежный ком растет
действительно лавина есть в горах
я ласточкой доволен в небесах",Осип Мандельштам
"в священном страхе зверь живет
уж перевернуто веками
довольно огненных страниц
неописуемый полет
серебряные облака
несется клекот вещих птиц
под грозовыми облаками
и будет вышина легка
как ласточка перед грозою
и крылья тишина расправит
и каждый совершил душою
когда же солнце вас расплавит",Осип Мандельштам
"она в отчужденьи и в силе
холодной стокгольмской постели
и ты раскрывала свой аленький рот
её чужелюбая власть привела
дичок медвежонок
из гроба ко мне прилетели
сказать что они отлежались в своей
но мельниц колёса зимуют в снегу
и прадеда скрипкой гордился твой род
возможна ли женщине мертвой хвала
от шейки её хорошея
смеясь итальянясь русея
я тяжкую память твою берегу
и стынет рожок почтальона
к насильственной жаркой могиле
и твердые ласточки круглых бровей",Осип Мандельштам
"вам чужд и странен
сухие листья октября
бесполая владеет вами злоба
где ночь бросает якоря
глухие вскормленники мрака
и на пороге тишины
бездетными сойдете вы
в свои повапленные гробы
и яслей вы не увидали
среди беспамятства природы
куда летите вы
от древа жизни вы отпали
в глухих созвездьях
не вам не вам обречены
для вас потомства нет увы
а звездам вечные народы",Осип Мандельштам
"и с тусклой планеты брошенный
подхватывай легкий мяч
что если вздрогнув неправильно
с таинственным миром связь
а в небе танцует золото
приказывает мне петь
томись музыкант встревоженный
какая беда стряслась
мне хочется онеметь
что если над модной лавкою
достанет меня звезда
своей булавкой заржавленной
я вздрагиваю от холода
ранний вариант последней строфы
мерцающая всегда
так вот она настоящая
мне в сердце длинной булавко
люби вспоминай и плачь
какая тоска щемящая",Осип Мандельштам
"строгий кукиш мне покажет
ой ли так ли дуй ли вей ли
мне из черных дыр зияла
греки сбондили
ангел мой марта
все лишь бредни шеррибренди
я скажу тебе с последней
там где эллину сияла
мэри пей коктейли
по губам меня помажет
ну а мне соленой пеной
мой голос пронзительный и фальшивый",Осип Мандельштам
"что мне делать с птицей раненой
и стоит осиротелая
утро нежностью бездонное
ктото снял колокола
и немая вышина
забытье неутоленное
полуявь и полусон
как пустая башня белая
я печаль как птицу серую
с колокольни отуманенной
сеет свет в сыром лесу
дум туманный перезвон
скудный луч холодной мерою
в сердце медленно несу
твердь умолкла умерла
где туман и тишина",Осип Мандельштам
"ясен и высок
счастия тяжелый
радость бессвязна
работает кузнец
звучно царство сна ноября
однообразно
он для всех кует
в небе голубом
в лазури месяц новый
кузнец отличается последней строфой и датировкой
круглое братство
легкий месяц здравствуй
в кузнице веселой
глубоко вздохнул я
я надел венец
звонкий грунт дорог
радуют подковы
в последнем варианте стихотворение названо
серебряным ковшом
бездна не страшна
словно зачерпнул я",Осип Мандельштам
"получишь уксусную губку ты для изменнических губ
о как мучительно дается чужого клёкота почет
и в наказанье за гордыню неисправимый звуколюб
тассо обворожающие нас
за беззаконные восторги лихая плата стережёт
в последний раз перед разлукой чужое имя не спасёт
не искушай чужих наречий но постарайся их забыть едь всё равно ты не сумеешь стекла зубами укусить едь умирающее тело и мыслящий бессмертный рот
чудовища с лазурным мозгом и чешуёй из влажных глаз",Осип Мандельштам
"гул за гулом
вечер нежный
вал за валом
все погасло
оглушил нас хаос темный
сумрак важный
бьет соленым покрывалом
и сердца отяжелели
одурманил воздух пьяный
убаюкал хор огромный
флейты лютни и тимпаны
и в лицо нам ветер влажный
в нас вошла слепая радость
все смешалось
волны берегом хмелели",Осип Мандельштам
"и самоваров розы алые
горят в трактирах и домах
иду прохожий человек
я с мужиками бородатыми
и тявкают дворняжки шалые
сгребают дворники лопатами
в спокойных пригородах снег
мелькают женщины в платках",Осип Мандельштам
