,title_of_poem,0
0,vtorojfutbol,"Рассеян утренник тяжелый, На босу ногу день пришел; А на дворе военной школы Играют мальчики в футбол.  Чуть-чуть неловки, мешковаты – Как подобает в их лета,– Кто мяч толкает угловатый, Кто охраняет ворота...  Любовь, охотничьи попойки – Все в будущем, а ныне – скорбь И вскакивать на жесткой койке, Чуть свет, под барабанов дробь!  Увы: ни музыки, ни славы! Так от зари и до зари, В силках науки и забавы Томятся дети-дикари.  Осенней путаницы сито. Деревья мокрые в золе. Мундир обрызган. Грудь открыта. Околыш красный на земле. "
1,natemnomnebe,"На темном небе, как узор, Деревья траурные вышиты. Зачем же выше и все выше ты Возводишь изумленный взор?  – Вверху – такая темнота,– Ты скажешь,– время опрокинула И, словно ночь, на день нахлынула Холмов холодная черта.  Высоких, неживых дерев Темнеющее рвется кружево: О, месяц, только ты не суживай Серпа, внезапно почернев! "
2,ne-govori-nikomu,"Не говори никому,Всё, что ты видел, забудь –Птицу, старуху, тюрьмуИли ещё что-нибудь.Или охватит тебя,Только уста разомкнешь,При наступлении дняМелкая хвойная дрожь.Вспомнишь на даче осу,Детский чернильный пеналИли чернику в лесу,Что никогда не сбирал. Октябрь 1930"
3,ewyo-my-zhizn-yu-polny-v-vysshej-mere,"Ещё мы жизнью полны в высшей мере,Ещё гуляют в городах СоюзаИз мотыльковых, лапчатых материйКитайчатые платьица и блузы.Ещё машинка номер первый едкоКаштановые собирает взятки,И падают на чистую салфеткуРазумные, густеющие прядки.Ещё стрижей довольно и касаток,Ещё комета нас не очумила,И пишут звездоносно и хвостатоТолковые, лиловые чернила.24 мая 1935"
4,devpolunochnykhotvaga,"...Дев полуночных отвага И безумных звезд разбег, Да привяжется бродяга, Вымогая на ночлег.  Кто, скажите, мне сознанье Виноградом замутит, Если явь – Петра созданье, Медный Всадник и гранит?  Слышу с крепости сигналы, Замечаю, как тепло. Выстрел пушечный в подвалы, Вероятно, донесло.  И гораздо глубже бреда Воспаленной головы – Звезды, трезвая беседа, Ветер западный с Невы. "
5,k-nemeckoj-rechi,"Б. С. Кузину           Freund! Versäume nicht zu leben:          Denn die Jahre fliehn,          Und es wird der Saft der Reben          Uns nicht lange glühn!                               (Ew. Chr. Kleist)* Себя губя, себе противореча,Как моль летит на огонек полночный,Мне хочется уйти из нашей речиЗа все, чем я обязан ей бессрочно.Есть между нами похвала без лестиИ дружба есть в упор, без фарисейства –Поучимся ж серьезности и честиНа западе у чуждого семейства.Поэзия, тебе полезны грозы!Я вспоминаю немца-офицера,И за эфес его цеплялись розы,И на губах его была Церера...Еще во Франкфурте отцы зевали,Еще о Гете не было известий,Слагались гимны, кони гарцевалиИ, словно буквы, прыгали на месте.Скажите мне, друзья, в какой ВалгаллеМы вместе с вами щелкали орехи,Какой свободой мы располагали,Какие вы поставили мне вехи.И прямо со страницы альманаха,От новизны его первостатейной,Сбегали в гроб ступеньками, без страха,Как в погребок за кружкой мозельвейна.Чужая речь мне будет оболочкой,И много прежде, чем я смел родиться,Я буквой был, был виноградной строчкой,Я книгой был, которая вам снится.Когда я спал без облика и склада,Я дружбой был, как выстрелом, разбужен.Бог Нахтигаль, дай мне судьбу ПиладаИль вырви мне язык – он мне не нужен.Бог Нахтигаль, меня еще вербуютДля новых чум, для семилетних боен.Звук сузился, слова шипят, бунтуют,Но ты живешь, и я с тобой спокоен.8 — 12 августа 1932 *  Перевод с немецкого:                      Друг! Не упусти (в суете) самое жизнь.          Ибо годы летят          И сок винограда          Недолго еще будет нас горячить!           (Эвальд Христиан Клейст)"
6,nevyrazimajapechal,"Невыразимая печаль Открыла два огромных глаза, Цветочная проснулась ваза И выплеснула свой хрусталь.  Вся комната напоена Истомой – сладкое лекарство! Такое маленькое царство Так много поглотило сна.  Немного красного вина, Немного солнечного мая – И, тоненький бисквит ломая, Тончайших пальцев белизна. "
7,peshekhodja,"М. Л. Лозинскому  Я чувствую непобедимый страх В присутствии таинственных высот. Я ласточкой доволен в небесах, И колокольни я люблю полет!  И, кажется, старинный пешеход, Над пропастью, на гнущихся мостках Я слушаю, как снежный ком растет И вечность бьет на каменных часах.  Когда бы так! Но я не путник тот, Мелькающий на выцветших листах, И подлинно во мне печаль поет;  Действительно, лавина есть в горах! И вся моя душа – в колоколах, Но музыка от бездны не спасет! "
8,podgrozovymioblakami,"Под грозовыми облаками Несется клекот вещих птиц: Довольно огненных страниц Уж перевернуто веками!  В священном страхе зверь живет – И каждый совершил душою, Как ласточка перед грозою, Неописуемый полет.  Когда же солнце вас расплавит, Серебряные облака, И будет вышина легка, И крылья тишина расправит? "
9,vozmozhna-li-zhenwine-mertvoj-hvala,"Возможна ли женщине мертвой хвала?Она в отчужденьи и в силе,Её чужелюбая власть привелаК насильственной жаркой могиле.И твердые ласточки круглых бровейИз гроба ко мне прилетелиСказать, что они отлежались в своейХолодной стокгольмской постели.И прадеда скрипкой гордился твой род,От шейки её хорошея,И ты раскрывала свой аленький рот,Смеясь, итальянясь, русея...Я тяжкую память твою берегу –Дичок, медвежонок, Миньона, –Но мельниц колёса зимуют в снегу,И стынет рожок почтальона.3 июня 1935, 14 декабря 1936"
